,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,0.03,0.1,104436,24.7,3.9,2.7,18726,1.8,0.84,4.9,1.05,40.28,13648,2.8,17.3%,0.3%,3.3%,0
Chungnam National University,0.09,0.42,-,23.1,0.9,18.4,518314,2.2,0.83,21.25,1.03,85.82,86734,41.16,21%,1.1%,2.7%,0
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pusan National University,0.1,0.64,1174399,20.2,12.4,29.4,667701,19.7,0.99,38.03,1.21,95.51,108102,77.91,28.2%,3%,7.2%,0.01
De La Salle University,0.05,0.03,288682,17.8,2.3,4.9,14249,4.7,1.01,7,1.14,46,0,0.69,34.8%,0.2%,1.3%,0
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Pecs,0.04,0.1,957268,26.4,1.7,11.5,5974,2.9,0.57,3.08,0.8,46.19,0,1.61,37.4%,2.4%,24.9%,0.01
Prince of Songkla University,0.02,0.1,289430,22.8,0.3,15.3,108948,1.8,1,18.31,1.3,70.78,66894,10.09,43%,1.4%,0.6%,0
Universidad Austral de Chile,0,0,322089,28.1,0.9,4.7,27030,1,0.89,3.68,1.2,21.33,16446,0.66,65.9%,13.4%,0.9%,0
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ege University,0.05,0.21,504769,23,2.6,7.7,128726,2.4,0.94,10.37,1.15,57.87,87746,8.8,26.8%,1.4%,5.9%,0.02
UFG - Universidade Federal de Goiás,0.02,0.03,369750,13.7,0.6,4.5,263443,1.9,0.74,3.24,0.94,33.98,7000,5.35,29.1%,3.7%,0.5%,0
Kharazmi University,0.09,0.13,83730,21.2,1.7,18.9,11032,0,1.16,18.98,1.5,62.15,2873,4.78,30.8%,0%,1.3%,0
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dokuz Eylul University,0.03,0.1,104436,24.7,3.9,2.7,18726,1.8,0.84,4.9,1.05,40.28,13648,2.8,17.3%,0.3%,3.3%,0
