,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Khon Kaen University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Mohammed V University of Rabat,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Sfax,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Antioquia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kangwon National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Central Lancashire,0.02,0.07,N/A,18.8,0.0,2.5,1040,0.0,0.86,315,24.3%,13%,14.8%
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Tunis El Manar,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Marmara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Prince of Songkla University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Thammasat University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ankara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal da Bahia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
