,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.04,0.1,99381,22.3,0.9,3.1,18605,2.7,0.85,13148,15.6%,0%,3.1%
Mohammed V University of Rabat,0.19,0.27,148379,14.2,4,13.3,43529,0,0.97,33869,33.1%,0%,1.8%
University of Sfax,0.17,0.37,10890,9.9,2.8,13.3,2323,8.5,0.92,889,60.5%,0%,1.4%
Khon Kaen University,0.07,0.22,252762,20,2.4,9.1,51810,2.1,1.05,38437,29.5%,0.5%,1.7%
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,0,0.01,87800,13.5,1.3,9.3,76049,0.2,0.83,67323,23.2%,19.1%,1%
University of Antioquia,0.04,0.17,-,52.7,1.5,4.3,322699,0.5,0.87,81704,46.4%,1.9%,0.2%
Universitas Padjadjaran,0.14,0.28,105512,15.5,1,10.2,33823,2.1,0.68,31241,30.9%,6.9%,2.2%
Universidad Nacional de Cordoba,0.08,0.02,39648,9.4,7.4,0.6,887,6.8,0.79,887,45.9%,0.7%,2.9%
Universidad del Norte,0.01,0.06,459578,28.8,0.6,4.6,26978,0,0.95,13467,52.5%,2.2%,0.5%
Federal University of Viçosa,0.22,0.21,396796,23.6,6.8,6.5,70184,6.1,0.96,13689,24.9%,0%,1%
Kangwon National University,0.02,0.09,586871,26,2.7,12.9,132505,1.6,0.85,6265,25.7%,1.1%,1.1%
Beijing Jiaotong University,0.15,0.23,373350,13.4,16.3,13.8,154673,31,0.96,65486,21%,14.5%,4.9%
University of Calcutta,6.91,0.59,309074,13.1,5.2,17.1,106444,4.7,0.87,29342,17.6%,0%,0.7%
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.01,0.04,7,37.9,6.1,3.4,3,7.4,1.04,2,42.6%,1.1%,0.2%
Marmara University,0.03,0.1,221269,32.3,1.4,4.1,52068,2.7,1.02,47396,23.7%,0.8%,6%
Obafemi Awolowo University (OAU),0.04,0.09,68712,19.4,6.2,3.9,2247,7.1,0.85,0,50.6%,0%,0.1%
University of Tunis El Manar,0.42,0.51,115312,11.9,8.4,22.8,46349,11.2,0.85,8773,56.4%,14.5%,1.4%
Rowan University,0.02,0.15,450982,26.6,0.2,8.6,108457,0.3,0.86,4679,28.7%,32.1%,6.1%
Chungbuk National University,0.07,0.29,196056,19.8,0.9,11.8,137800,2,0.83,13407,27.4%,0%,1.5%
Kaunas University of Technology,0.05,0.11,277276,14.6,3.4,4.2,84557,3.2,1.01,19363,48.2%,1.1%,12.8%
Universidade Federal de São Carlos,0.11,0.29,284746,24.6,7.9,11.5,37090,12.5,0.97,1780,33.5%,2.1%,1.3%
Tamkang University,0.02,0.13,291290,29,2.2,7.6,77136,2.3,1.1,14286,43.1%,0%,2.9%
Prince of Songkla University,0.02,0.07,334898,22.3,1.9,14.3,157697,3.3,0.93,55848,39.8%,0.7%,0.9%
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Pecs,0.01,0.02,731929,28.9,0.0,10.8,10844,0.0,0.58,384,38.3%,2%,23.6%
UFG - Universidade Federal de Goiás,0.01,0.01,395322,13.9,0.7,4.3,281663,0.9,0.74,7484,27.9%,3.7%,0.8%
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kharazmi University,0.12,0.2,113440,23.1,0,19.1,13715,1,1.05,4584,24%,0%,0.9%
Thammasat University,0.03,0.12,886650,20.1,4.3,7.8,420915,5.8,0.8,17987,30.5%,3.3%,4.4%
Dokuz Eylul University,0.04,0.1,99381,22.3,0.9,3.1,18605,2.7,0.85,13148,15.6%,0%,3.1%
Ankara University,0.05,0.06,530332,15.4,2.7,2.5,83913,2.1,1.06,4196,30.6%,2.8%,3.1%
Universidade Estadual de Londrina,0.16,0.23,123875,13,0.4,8.6,28066,0,0.85,12782,20.7%,2.7%,0.7%
Universidade Federal da Bahia,0.11,0.14,391572,26.4,2.3,4.1,9103,1.2,0.78,673,27.5%,3.2%,0.3%
Universidad Nacional de Educacion a Distancia,0.4,0.14,-,18.1,0.5,11.4,-,0.4,0.97,-,33.4%,2.3%,4.7%
Chungnam National University,0.09,0.43,-,23.5,5.3,17.9,372111,3.2,0.81,50684,20.5%,1%,2.3%
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,0.1,0.64,1174837,25.7,18.5,28,577458,14.7,0.94,67780,26.1%,2.6%,5%
De La Salle University,0.01,0.04,200204,17.4,3.6,5.5,40030,2.4,1.08,0,32.9%,0%,1.8%
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ege University,0.05,0.16,326648,19.8,1.7,6.4,237084,4.4,0.91,43214,24.6%,2.9%,6.2%
